iter	Passed	Remaining
602	1462	962
603	1464	960
604	1466	957
605	1468	954
606	1470	952
607	1472	949
608	1474	946
609	1476	944
610	1478	941
611	1480	938
612	1482	936
613	1485	933
614	1487	930
615	1489	928
616	1491	925
617	1493	923
618	1495	920
619	1497	918
620	1500	915
621	1502	912
622	1504	910
623	1506	907
624	1508	905
625	1510	902
626	1512	899
627	1515	897
628	1517	894
629	1519	892
630	1521	889
631	1523	887
632	1525	884
633	1527	881
634	1529	879
635	1531	876
636	1533	874
637	1535	871
638	1537	868
639	1540	866
640	1542	863
641	1544	861
642	1546	858
643	1548	855
644	1550	853
645	1552	850
646	1554	848
647	1556	845
648	1558	843
649	1560	840
650	1562	837
651	1564	835
652	1567	832
653	1569	830
654	1571	827
655	1573	824
656	1575	822
657	1577	819
658	1579	817
659	1581	814
660	1583	812
661	1585	809
662	1587	807
663	1590	804
664	1592	802
665	1594	799
666	1596	796
667	1598	794
668	1600	791
669	1602	789
670	1604	786
671	1606	784
672	1608	781
673	1610	779
674	1612	776
675	1615	774
676	1617	771
677	1619	769
678	1621	766
679	1623	764
680	1626	761
681	1628	759
682	1630	756
683	1632	754
684	1634	751
685	1636	748
686	1638	746
687	1640	743
688	1642	741
689	1644	738
690	1646	736
691	1648	733
692	1650	731
693	1652	728
694	1654	726
695	1657	723
696	1659	721
697	1661	718
698	1663	716
699	1665	713
700	1667	711
701	1669	708
702	1671	706
703	1673	703
704	1675	701
705	1678	698
706	1680	696
707	1682	693
708	1684	691
709	1686	688
710	1688	686
711	1690	683
712	1692	681
713	1694	678
714	1696	676
715	1699	673
716	1701	671
717	1703	668
718	1705	666
719	1707	664
720	1709	661
721	1711	659
722	1713	656
723	1715	654
724	1718	651
725	1720	649
726	1722	646
727	1724	644
728	1726	641
729	1728	639
730	1731	637
731	1733	634
732	1735	632
733	1737	629
734	1739	627
735	1741	624
736	1743	622
737	1745	619
738	1747	617
739	1749	614
740	1752	612
741	1754	609
742	1756	607
743	1758	605
744	1760	602
745	1762	600
746	1764	597
747	1767	595
748	1769	592
749	1771	590
750	1773	587
751	1775	585
752	1777	583
753	1779	580
754	1781	578
755	1783	575
756	1785	573
757	1788	570
758	1790	568
759	1792	565
760	1794	563
761	1796	561
762	1798	558
763	1800	556
764	1802	553
765	1804	551
766	1806	548
767	1809	546
768	1811	544
769	1813	541
770	1815	539
771	1817	536
772	1819	534
773	1821	531
774	1823	529
775	1825	526
776	1827	524
777	1829	522
778	1831	519
779	1833	517
780	1836	514
781	1838	512
782	1840	510
783	1842	507
784	1844	505
785	1846	502
786	1848	500
787	1851	498
788	1853	495
789	1855	493
790	1858	490
791	1860	488
792	1862	486
793	1864	483
794	1866	481
795	1868	478
796	1870	476
797	1872	474
798	1875	471
799	1877	469
800	1879	466
801	1881	464
802	1884	462
803	1886	459
804	1888	457
805	1890	454
806	1892	452
807	1894	450
808	1896	447
809	1898	445
810	1901	443
811	1903	440
812	1905	438
813	1907	435
814	1909	433
815	1911	431
816	1913	428
817	1916	426
818	1918	423
819	1920	421
820	1922	419
821	1924	416
822	1926	414
823	1928	411
824	1930	409
825	1932	407
826	1934	404
827	1936	402
828	1938	399
829	1940	397
830	1942	395
831	1945	392
832	1947	390
833	1949	388
834	1951	385
835	1953	383
836	1955	380
837	1957	378
838	1960	376
839	1962	373
840	1964	371
841	1966	369
842	1968	366
843	1970	364
844	1973	362
845	1976	359
846	1978	357
847	1980	354
848	1982	352
849	1984	350
850	1986	347
851	1988	345
852	1990	343
853	1993	340
854	1995	338
855	1997	335
856	1999	333
857	2001	331
858	2003	328
859	2005	326
860	2007	324
861	2009	321
862	2011	319
863	2013	316
864	2015	314
865	2018	312
866	2020	309
867	2022	307
868	2024	305
869	2026	302
870	2028	300
871	2031	298
872	2033	295
873	2035	293
874	2037	291
875	2039	288
876	2041	286
877	2043	284
878	2045	281
879	2048	279
880	2050	276
881	2052	274
882	2054	272
883	2056	269
884	2058	267
885	2060	265
886	2062	262
887	2064	260
888	2066	258
889	2069	255
890	2071	253
891	2073	250
892	2075	248
893	2077	246
894	2079	243
895	2081	241
896	2083	239
897	2086	236
898	2088	234
899	2090	232
900	2092	229
901	2094	227
902	2096	225
903	2098	222
904	2101	220
905	2103	218
906	2105	215
907	2108	213
908	2110	211
909	2112	208
910	2115	206
911	2117	204
912	2119	201
913	2121	199
914	2123	197
915	2126	194
916	2128	192
917	2130	190
918	2133	188
919	2135	185
920	2137	183
921	2141	181
922	2144	178
923	2146	176
924	2148	174
925	2150	171
926	2153	169
927	2155	167
928	2157	164
929	2160	162
930	2165	160
